old_path,new_name,reason
CNN:DeepClean/1808.07269v1.pdf,cnn_deepclean_arxiv_1808.07269v1.pdf,add arxiv id
CNN:DeepClean/2005.06534v1.pdf,cnn_deepclean_arxiv_2005.06534v1.pdf,add arxiv id
CNN:DeepClean/2306.11366v1.pdf,cnn_deepclean_arxiv_2306.11366v1.pdf,add arxiv id
CNN:DeepClean/2403.18661v2.pdf,cnn_deepclean_arxiv_2403.18661v2.pdf,add arxiv id
CNN:DeepClean/2505.21261v1.pdf,cnn_deepclean_arxiv_2505.21261v1.pdf,add arxiv id
CNN:DeepClean/FastML Workshop 2020 Presentation.pdf,fastml_workshop_2020_presentation_cnn_deepclean.pdf,slugified
CNN:DeepClean/FastML_2023_ML4GW.pdf,fastml_2023_ml4gw_cnn_deepclean.pdf,slugified
CNN:DeepClean/MIT-ML-talk-2023.pdf,mit_ml_talk_2023_cnn_deepclean.pdf,slugified
CNN:DeepClean/PhysRevD.110.063010.pdf,physrevd_110_063010_cnn_deepclean.pdf,slugified
CNN:DeepClean/lbezerra_thesis.pdf,lbezerra_thesis_cnn_deepclean.pdf,slugified
DPG_abstract.pdf,dpg_abstract_delight_ref.pdf,slugified
GWAK/2309.11537v1.pdf,gwak_arxiv_2309.11537v1.pdf,add arxiv id
GWAK/2412.19883v1.pdf,gwak_arxiv_2412.19883v1.pdf,add arxiv id
GWAK/2503.02112v2.pdf,gwak_arxiv_2503.02112v2.pdf,add arxiv id
"GWAK/ML@MIT presentation, Ryan Raikman.pdf",ml_mit_presentation_ryan_raikman_gwak.pdf,slugified
GWAK/PhysRevD.111.042010.pdf,physrevd_111_042010_gwak.pdf,slugified
PCA/1208.4122v2.pdf,1208_4122v2_pca.pdf,slugified
PCA/1607.00834v1.pdf,pca_arxiv_1607.00834v1.pdf,add arxiv id
PCA/1910.14261v2.pdf,pca_arxiv_1910.14261v2.pdf,add arxiv id
PCA/Journal of the Royal Statistical Society  Series B  Statistical Methodology - 2002 - Tipping - Probabilistic Principal.pdf,journal_of_the_royal_statistical_society_series_b_statistical_methodology_2002_tipping_probabilistic_principal_pca.pdf,slugified
PCA/hinton/PCA_encoder.pdf,pca_encoder_hinton.pdf,slugified
PCA/hinton/hdr97.pdf,hdr97_hinton.pdf,slugified
"SWE_MLE/A Tour Of C++ The C++ In-depth Series Tour Of C Plus Plus -- Safari, an O'Reilly Media Company_; Stroustrup, Bjarne -- C++ In-Depth Series, 2, 2018 -- 9780134997834 -- 246b8cddd307923c9a825585c701bcaa -- Anna’s Archive.pdf",a_tour_of_c_the_c_in_depth_series_tour_of_c_plus_plus_safari_an_o_reilly_media_company_stroustrup_bjarne_c_in_depth_series_2_2018_9780134997834_246b8cddd307923c9a825585c701bcaa_anna_s_archive_swe_mle.pdf,slugified
SWE_MLE/Meta SWE PhD Intern Screen Prep Guide (4).pdf,meta_swe_phd_intern_screen_prep_guide_4_swe_mle.pdf,slugified
SWE_MLE/d2l-en.pdf,d2l_en_swe_mle.pdf,slugified
SWE_MLE/transformers.pdf,transformers_swe_mle.pdf,slugified
TIDMID/1609.03499v2.pdf,tidmid_arxiv_1609.03499v2.pdf,add arxiv id
TIDMID/2406.04378v3.pdf,tidmid_arxiv_2406.04378v3.pdf,add arxiv id
TIDMID/2504.20398v1.pdf,tidmid_arxiv_2504.20398v1.pdf,add arxiv id
